"ubicacion","lat","lon","cant_dorms","cant_banos","antiguedad","expensas","precio","precio_moneda","sup_cub","sup_des","href","sup_total","ambientes","fuente"
"av. belgrano 400, piso 8",-34.61254,-58.37179,3,2,50,17500,63000,"$",136,8,"https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-4-ambientes--10714300",144,4,"argenprop"
"bucarelli 2600, piso 1",-34.57395,-58.49036,1,1,40,4500,27000,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--10255821",33,2,"argenprop"
"murillo 1100",-34.59708,-58.44789,2,,40,8000,49000,"$",57,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-3-ambientes--6592627",60,3,"argenprop"
"3 de febrero al 1900",-34.56208,-58.45668,3,2,30,48000,1600,"USD",200,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-4-ambientes--10358371",200,4,"argenprop"
"3 de febrero al 1900",-34.56208,-58.45668,3,2,30,48000,290000,"$",200,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-4-ambientes--10358275",200,4,"argenprop"
"avenida alvear 1400",-34.59078,-58.38475,6,5,30,1e+05,1500,"USD",363,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-7-ambientes--10714239",363,7,"argenprop"
"cnel e bonorino 100, piso 1",-34.62949,-58.45923,3,1,45,,52500,"$",105,10,"https://www.argenprop.com/departamento-en-alquiler-en-flores-4-ambientes--1417430",115,4,"argenprop"
"catamarca 400, piso 9",-34.61573,-58.40581,1,,,4500,28000,"$",32,0,"https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--10691729",32,2,"argenprop"
"pje huergo 200, piso 6",,,4,2,50,44000,180000,"$",150,50,"https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--10713916",200,5,"argenprop"
"paraguay 2000",-34.59863,-58.39605,2,1,75,15800,60000,"$",80,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--10384031",80,3,"argenprop"
"callao al 1500",-34.59181,-58.39215,3,1,60,31000,220000,"$",144,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--10638402",144,4,"argenprop"
"av alvarez thomas 1100, piso 6",-34.57847,-58.45771,0,1,20,8000,32000,"$",35,2,"https://www.argenprop.com/departamento-en-alquiler-en-chacarita--10714111",37,1,"argenprop"
"av triunvirato  3000",-34.58451,-58.46574,1,1,,,27000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--10649730",34,2,"argenprop"
"avenida pueyrredón 1300",-34.59502,-58.40243,1,1,61,9300,40000,"$",48,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--10704404",48,2,"argenprop"
"remedios  al 4400",,,1,1,20,10000,45000,"$",45,12,"https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--10713966",57,2,"argenprop"
"av almafuerte 100",-34.63845,-58.41152,3,1,40,8600,45000,"$",62,0,"https://www.argenprop.com/departamento-en-alquiler-en-parque-patricios-4-ambientes--10713898",62,4,"argenprop"
"j.b.alberdi 5500, piso 1",-34.64937,-58.49985,2,2,,,80000,"$",81,64,"https://www.argenprop.com/ph-en-alquiler-en-mataderos-3-ambientes--10704401",145,3,"argenprop"
"republica de eslovenia al 1900",-34.57035,-58.43429,0,1,45,8000,30000,"$",26,5,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--10713574",31,1,"argenprop"
"chivilcoy 2000",-34.61514,-58.49843,1,1,4,,44000,"$",42,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto--10700469",42,2,"argenprop"
"av nazca 2700, piso 6",-34.60392,-58.48767,1,1,15,8000,35000,"$",47,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--10693141",50,2,"argenprop"
"chivilcoy 2000",-34.61514,-58.49843,1,1,4,,44000,"$",42,0,"https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-2-ambientes--10640013",42,2,"argenprop"
"av montes de oca 1400",-34.64373,-58.37339,0,1,3,9500,40000,"$",37,22,"https://www.argenprop.com/departamento-en-alquiler-en-barracas-1-ambiente--10713724",59,1,"argenprop"
"esmeralda al 600",-34.60086,-58.37811,0,1,25,4933,17000,"$",29,0,"https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--10405862",29,1,"argenprop"
"av la plata  300, piso 13",-34.61846,-58.42868,0,1,40,4500,21000,"$",19,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--7968759",19,1,"argenprop"
"avenida general indalecio chenaut 1900",-34.57174,-58.433,3,2,31,19000,1100,"USD",120,0,"https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--10649635",120,4,"argenprop"
"av tte gral donato alvarez 200, piso 8",-34.62256,-58.45531,1,1,,,28000,"$",38,5,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10713638",43,2,"argenprop"
