sup_tot,sup_cub,ambientes,dormitorios,expensas,precio,precio_moneda,ubicación,lat,lon,fecha,href,inm_tipo
20.0,20.0,1.0,,,18000,$,"Directorio 2350, Flores",-34.6334095,-58.4598322,2021-10-13T18:52:22.000Z,https://departamento.mercadolibre.com.ar/MLA-1108030498-alquiler-monoambiente-flores-_JM#position=1&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
35.0,35.0,2.0,1.0,6500.0,25000,$,"R¿o De Janeiro 300, Caballito",-34.612076200000004,-58.430379200000004,2021-10-15T13:04:59.000Z,https://departamento.mercadolibre.com.ar/MLA-1108278762-departamento-2-ambientes-amoblado-alquiler-caballito-_JM#position=2&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
80.0,80.0,3.0,2.0,,40000,$,"Carabobo 1086, Parque Chacabuco",-34.638645399999994,-58.450539299999996,2021-10-12T20:15:32.000Z,https://departamento.mercadolibre.com.ar/MLA-1107861392-dueno-alquila-3-amb-80m-segundo-piso-por-escalera-al-frente-_JM#position=3&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
36.0,36.0,2.0,1.0,4920.0,28000,$,"Sanabria Al 2900 5º, Villa Devoto",-34.609212299999996,-58.507767099999995,2021-10-14T12:36:48.000Z,https://departamento.mercadolibre.com.ar/MLA-1108155524-departamento-2-ambientes-villa-devoto-_JM#position=4&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
42.0,38.0,1.0,,4700.0,40000,$,"Gabriela Mistral 3400, Villa Devoto",-34.5915576,-58.508675,2021-10-14T18:52:30.000Z,https://departamento.mercadolibre.com.ar/MLA-1108153039-departamento-monoambiente-en-alquiler-ubicado-en-villa-devoto-capital-federal-_JM#position=5&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
45.0,41.0,2.0,1.0,11000.0,35000,$,"Ibera  1500, Núñez",-34.549163799999995,-58.45552829999999,2021-10-18T18:25:11.000Z,https://departamento.mercadolibre.com.ar/MLA-1108674361-alquiler-departamento-2-ambientes-con-balcon-nunez-_JM#position=6&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
75.0,75.0,3.0,2.0,,55000,$,"Corrientes 4400, Almagro",-34.602372499999994,-58.42829920000001,2021-10-13T15:39:27.000Z,https://departamento.mercadolibre.com.ar/MLA-1107981426-dueno-alquila-3-amb-75-m2-muy-luminoso-en-almagro-_JM#position=7&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
32.0,32.0,2.0,1.0,,26500,$,"Av.nazca 3863, Agronomía",-34.5922896,-58.496548499999996,2021-10-14T18:25:31.000Z,https://departamento.mercadolibre.com.ar/MLA-1108146274-alquiler-departamento-2amb-2x-esc-265002000-exp-agronomia-_JM#position=8&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
88.0,80.0,4.0,3.0,11000.0,65000,$,"Alvarez Jonte Al 2400, Villa del Parque",-34.6072535,-58.4771434,2021-10-15T13:26:34.000Z,https://departamento.mercadolibre.com.ar/MLA-1108324478-departamento-villa-del-parque-_JM#position=9&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
30.0,30.0,2.0,1.0,,4500,$,"Malabia  2439, Palermo",-34.5850479,-58.4179042,2021-10-13T15:13:40.000Z,https://departamento.mercadolibre.com.ar/MLA-1108004529-depto-2-ambientes-alquiler-temporal-botanico-palermo-_JM#position=10&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
85.0,70.0,4.0,3.0,,700,U$S,"Cabrera  3443, Palermo",-34.5966226,-58.41475820000001,2021-10-18T14:33:28.000Z,https://departamento.mercadolibre.com.ar/MLA-1108559852-depto-4-ambalquiler-en-en-la-reserva-cardales-zona-norte-_JM#position=11&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
127.0,127.0,3.0,2.0,35000.0,2000,U$S,"Cerviño Al 4500, Palermo",-34.5761083,-58.42201729999999,2021-10-13T23:34:29.000Z,https://departamento.mercadolibre.com.ar/MLA-1108041324-departamento-en-alquiler-en-quartier-oro-_JM#position=12&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
55.0,55.0,2.0,1.0,12000.0,40000,$,"Sanchez De Bustamante Y French, Recoleta",-34.5871594,-58.4054874,2021-10-14T14:28:41.000Z,https://departamento.mercadolibre.com.ar/MLA-1108104524-departamento-venta-recoleta-_JM#position=13&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
182.0,160.0,4.0,3.0,40000.0,180000,$,"Posadas Al 1400, Recoleta",-34.587820799999996,-58.3863664,2021-10-13T13:57:20.000Z,https://departamento.mercadolibre.com.ar/MLA-1107953801-departamento-recoleta-_JM#position=14&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
