"","ubicacion","lat","lon","precio_moneda","precio","ambientes","habitaciones","sup_des","sup_cub","fecha","expensas","href","tipo","fuente","sup_total"
"1","VIRREY LORETO 2000. Entre Esquina o'higgins",-34.565321,-58.448049,"ARS",125000,5,3,,,2021-09-30,33200,"https://www.properati.com.ar/detalle/3q85k_venta_departamento_belgrano_balcon_lavadero_lujoso_dependencias_garage_impecable_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_hall_living_chochera_comedor_living-comedor_calefaccion_cochera_oppel-inmuebles","depto","properati",
"2","Beruti  3100 5° ",-34.58841324,-58.40781403,"ARS",80000,,2,80,,2021-09-30,15500,"https://www.properati.com.ar/detalle/3ys8t_alquiler_departamento_recoleta_balcon_lavadero_toilette_luminoso_lujoso_dependencias_garage_placard_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_ascensor_calefaccion_zaracho-propiedades","depto","properati",80
"3","Lope De Vega  1600",-34.62456512,-58.51110458,"ARS",45000,,2,50,,2021-09-30,4000,"https://www.properati.com.ar/detalle/409q0_alquiler_departamento_monte-castro_lavadero_lujoso_placard_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_comedor_living-comedor_ascensor_menendez-propiedades_hnzy","depto","properati",50
"4","Libertador  900 3° ",-34.58691025,-58.38452911,"ARS",100000,,2,116,,2021-09-30,20000,"https://www.properati.com.ar/detalle/3wwcj_alquiler_departamento_recoleta_balcon_suite_lavadero_toilette_luminoso_lujoso_impecable_subte-linea-h_ciclovias-y-bicisendas-de-buenos-aires_cocina_ascensor_zaracho-propiedades","depto","properati",116
"5","FEDERICO LACROZE 1900. Entre Av. luis maria campos y Villan",-34.56545,-58.440903,"ARS",73000,4,3,,,2021-09-30,13200,"https://www.properati.com.ar/detalle/3ysgz_alquiler_departamento_belgrano_balcon_toilette_luminoso_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_comedor_living-comedor_ascensor_oppel-inmuebles_d62","depto","properati",
"6","LAS HERAS 3700. Entre Scalabrini ortiz y Ugarteche",-34.58203,-58.41235,"ARS",38000,2,1,,,2021-09-30,9993,"https://www.properati.com.ar/detalle/3s477_alquiler_departamento_palermo_balcon_lavadero_piscina_luminoso_cocina_hall_living_comedor_living-comedor_oppel-inmuebles","depto","properati",
"7","Soler  3800 3° ",-34.59240723,-58.41671371,"ARS",42000,,1,48,,2021-09-30,11500,"https://www.properati.com.ar/detalle/3zzs6_alquiler_departamento_palermo_balcon_baulera_suite_lavadero_toilette_luminoso_lujoso_garage_impecable_aire-acondicionado_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_ascensor_zaracho-propiedades","depto","properati",48
"8","Beruti  3100 5° ",-34.58841324,-58.40781403,"ARS",80000,,2,80,,2021-09-30,15500,"https://www.properati.com.ar/detalle/400jp_alquiler_departamento_recoleta_balcon_lavadero_toilette_luminoso_lujoso_dependencias_garage_placard_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_ascensor_calefaccion_zaracho-propiedades","depto","properati",80
"9","MELIAN 2300. Entre Olazabal y Blanco encalada",-34.5663095,-58.4703235,"ARS",65000,4,3,,,2021-09-30,12205,"https://www.properati.com.ar/detalle/400tc_alquiler_departamento_belgrano_ciclovias-y-bicisendas-de-buenos-aires_oppel-inmuebles_d62","depto","properati",
"10","Guido  1800 6° ",-34.58968353,-58.39048004,"ARS",100000,,3,110,,2021-09-30,17000,"https://www.properati.com.ar/detalle/404ru_alquiler_departamento_recoleta_balcon_lavadero_toilette_lujoso_dependencias_subte-linea-h_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_comedor_ascensor_zaracho-propiedades","depto","properati",110
